GBGL21990-19|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBGL21976-19|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBGL21981-19|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBGL22001-19|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBLN4761-14|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBLN4765-14|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
GBLN4759-14|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
CNGRD1015-12|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
CNGRJ083-13|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
CNWLN1079-13|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
NGNAY2792-14|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
LCHQ524-08|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
LOWCC424-05|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
LPABB029-08|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
LPSK519-08|Apamea.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Apamea	Apamea_scoparia
SSPPA5874-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
SSPPA6204-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
OPPOG2015-17|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
JSAUG264-11|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
CNSLP649-13|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
CNFNT789-14|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
CNPKO412-14|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
SSROB4831-14|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
ASDIP868-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
RRINV1581-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
SSROB6041-14|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
SSROC4392-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
SSROC4487-15|Gymnophora.	Insecta	Diptera	Phoridae	Metopininae	Gymnophora	Gymnophora_luteiventris
GBCLS1346-19|Cyclocephala.	Insecta	Coleoptera	Scarabaeidae	Dynastinae	Cyclocephala	Cyclocephala_conspicua
GBCLS1352-19|Cyclocephala.	Insecta	Coleoptera	Scarabaeidae	Dynastinae	Cyclocephala	Cyclocephala_conspicua
GBFCE1793-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1821-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
GBFCE1813-15|Caenestheriella.	Branchiopoda	Spinicaudata	Cyzicidae	Caenestheriella	Caenestheriella_cf__packardi_lineage_S
